Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,LineAmount,Year
517482,20754,RETRO RED SPOTTY WASHING UP GLOVES,6,2010-07-29 12:28:00,2.1,17651.0,United Kingdom,12.600000000000001,2010
532642,21875,KINGS CHOICE MUG,1,2010-11-12 17:00:00,3.36,,United Kingdom,3.36,2010
561862,21096,SET/6 FRUIT SALAD  PAPER PLATES,2,2011-07-31 10:38:00,0.39,15569.0,United Kingdom,0.78,2011
575003,21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",4,2011-11-08 11:09:00,4.95,15950.0,United Kingdom,19.8,2011
556541,21524,DOORMAT SPOTTY HOME SWEET HOME,2,2011-06-13 12:52:00,7.95,13552.0,United Kingdom,15.9,2011
530420,22327,ROUND SNACK BOXES SET OF 4 SKULLS,6,2010-11-03 09:16:00,2.95,17735.0,United Kingdom,17.700000000000003,2010
531335,84670,JAPANESE CROCHETED ANIMAL,3,2010-11-07 12:36:00,0.42,17931.0,United Kingdom,1.26,2010
513196,71459,HANGING JAM JAR T-LIGHT HOLDER,12,2010-06-22 15:28:00,0.85,13539.0,United Kingdom,10.2,2010
553408,21294,ETCHED GLASS COASTER,48,2011-05-17 09:13:00,0.39,13976.0,United Kingdom,18.72,2011
568556,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,6,2011-09-27 15:35:00,2.55,15827.0,United Kingdom,15.299999999999999,2011
550541,35911A,MULTICOLOUR RABBIT EGG WARMER,2,2011-04-19 11:33:00,0.83,,United Kingdom,1.66,2011
545649,22614,PACK OF 12 SPACEBOY TISSUES,2,2011-03-04 13:14:00,0.29,14995.0,United Kingdom,0.58,2011
526910,22381,TOY TIDY PINK POLKADOT,4,2010-10-13 15:37:00,2.1,15351.0,United Kingdom,8.4,2010
557878,22904,CALENDAR PAPER CUT DESIGN,8,2011-06-23 13:13:00,2.95,16940.0,United Kingdom,23.6,2011
537794,20685,DOORMAT RED RETROSPOT,2,2010-12-08 13:01:00,7.95,16713.0,United Kingdom,15.9,2010
539451,47599A,PINK PARTY BAGS,1,2010-12-17 16:59:00,4.21,,United Kingdom,4.21,2010
535670,22662,LUNCH BAG DOLLY GIRL DESIGN,10,2010-11-28 12:03:00,1.65,15834.0,United Kingdom,16.5,2010
519739,20703,BLUE PADDED SOFT MOBILE,3,2010-08-20 09:39:00,4.25,17699.0,United Kingdom,12.75,2010
553671,23096,PETIT TRAY CHIC,12,2011-05-18 12:37:00,1.65,13659.0,United Kingdom,19.799999999999997,2011
548708,22673,FRENCH GARDEN SIGN BLUE METAL,2,2011-04-03 12:41:00,1.25,13269.0,United Kingdom,2.5,2011
559700,22470,HEART OF WICKER LARGE,150,2011-07-12 09:04:00,3.21,17450.0,United Kingdom,481.5,2011
513200,90011A,MIDNIGHT BLUE CRYSTAL DROP EARRINGS,1,2010-06-22 16:28:00,2.96,,United Kingdom,2.96,2010
511854,21929,JUMBO BAG PINK VINTAGE PAISLEY,30,2010-06-11 08:11:00,1.65,14298.0,United Kingdom,49.5,2010
527046,46000P,POLYESTER FILLER PAD 65CMx65CM,2,2010-10-14 12:46:00,4.25,18037.0,United Kingdom,8.5,2010
560434,22371,AIRLINE BAG VINTAGE TOKYO 78,3,2011-07-18 15:56:00,4.13,,United Kingdom,12.39,2011
580682,21115,ROSE CARAVAN DOORSTOP,8,2011-12-05 15:02:00,1.95,16968.0,United Kingdom,15.6,2011
506146,22217,T-LIGHT HOLDER HANGING LACE,5,2010-04-27 16:45:00,2.51,,United Kingdom,12.549999999999999,2010
552229,21479,WHITE SKULL HOT WATER BOTTLE ,1,2011-05-06 15:40:00,7.46,,United Kingdom,7.46,2011
523855,21011,GLITTER SNOW PEAR TREE DECORATION,6,2010-09-24 12:18:00,1.45,15551.0,United Kingdom,8.7,2010
578814,22493,PAINT YOUR OWN CANVAS SET,2,2011-11-25 13:40:00,1.65,12748.0,United Kingdom,3.3,2011
507025,85025C,PINK HEART SHAPE PHOTO FRAME,4,2010-05-05 14:42:00,3.36,,United Kingdom,13.44,2010
579539,22283,6 EGG HOUSE PAINTED WOOD,2,2011-11-30 10:06:00,7.95,14911.0,EIRE,15.9,2011
519180,22361,GLASS JAR DAISY FRESH COTTON WOOL,1,2010-08-13 14:46:00,5.91,,United Kingdom,5.91,2010
576181,23526,WALL ART DOG LICENCE ,1,2011-11-14 11:19:00,5.95,15572.0,United Kingdom,5.95,2011
523014,72351B,SET/6 PINK  BUTTERFLY T-LIGHTS,1,2010-09-20 10:20:00,4.21,,United Kingdom,4.21,2010
542723,21733,RED HANGING HEART T-LIGHT HOLDER,7,2011-01-31 14:53:00,2.95,17256.0,United Kingdom,20.650000000000002,2011
521646,21703,BAG 125g SWIRLY MARBLES,10,2010-09-07 13:20:00,0.85,,United Kingdom,8.5,2010
523364,22026,BANQUET BIRTHDAY  CARD  ,12,2010-09-21 18:05:00,0.36,17850.0,United Kingdom,4.32,2010
511078,22423,REGENCY CAKESTAND 3 TIER,1,2010-06-06 13:52:00,12.75,16497.0,United Kingdom,12.75,2010
507999,21882,SKULLS TAPE,12,2010-05-12 11:45:00,0.65,12580.0,Germany,7.800000000000001,2010
580669,21326,AGED GLASS SILVER T-LIGHT HOLDER,12,2011-12-05 14:25:00,0.65,15159.0,United Kingdom,7.800000000000001,2011
579283,84991,60 TEATIME FAIRY CAKE CASES,24,2011-11-29 10:45:00,0.55,13883.0,United Kingdom,13.200000000000001,2011
536876,84992,72 SWEETHEART FAIRY CAKE CASES,3,2010-12-03 11:36:00,1.28,,United Kingdom,3.84,2010
490964,22147,FELTCRAFT BUTTERFLY HEARTS,1,2009-12-08 16:09:00,1.45,14646.0,Netherlands,1.45,2009
566270,85111,SILVER GLITTER FLOWER VOTIVE HOLDER,36,2011-09-11 13:40:00,0.29,16523.0,United Kingdom,10.44,2011
508979,22540,MINI JIGSAW CIRCUS PARADE ,2,2010-05-19 11:55:00,0.85,,United Kingdom,1.7,2010
515703,22521,CHILDS GARDEN TROWEL PINK,1,2010-07-14 12:29:00,0.85,14656.0,United Kingdom,0.85,2010
518509,48188,DOORMAT WELCOME PUPPIES,1,2010-08-09 14:39:00,7.49,14498.0,United Kingdom,7.49,2010
565243,22295,HEART FILIGREE DOVE LARGE,24,2011-09-02 10:20:00,1.65,16735.0,United Kingdom,39.599999999999994,2011
576768,23084,RABBIT NIGHT LIGHT,48,2011-11-16 13:13:00,1.79,13408.0,United Kingdom,85.92,2011
525434,21172,PARTY METAL SIGN ,6,2010-10-05 13:19:00,1.45,14064.0,United Kingdom,8.7,2010
489604,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,2,2009-12-01 14:47:00,6.04,,United Kingdom,12.08,2009
501347,21661,VINTAGE GLASS TEA CADDY,3,2010-03-16 10:51:00,5.95,14873.0,United Kingdom,17.85,2010
499777,21265,PINK GOOSE FEATHER TREE 60CM,1,2010-03-02 14:01:00,9.95,12525.0,France,9.95,2010
580469,23002,TRAVEL CARD WALLET SKULLS,2,2011-12-04 12:32:00,0.42,14583.0,United Kingdom,0.84,2011
